# x_m,y_m,w_tr_right_m,w_tr_left_m
-13.7250,-0.0250,0.6750,0.6750
-13.7250,-0.0750,0.6750,0.6750
-13.7250,-0.1250,0.6750,0.6750
-13.6750,-0.1750,0.7250,0.7250
-13.6250,-0.2250,0.7250,0.7250
-13.5750,-0.2250,0.7250,0.7250
-13.5250,-0.2250,0.7250,0.7250
-13.4750,-0.2250,0.7250,0.7250
-13.4250,-0.2250,0.7250,0.7250
-13.3750,-0.2250,0.7250,0.7250
-13.3250,-0.2250,0.7250,0.7250
-13.2750,-0.2250,0.7250,0.7250
-13.2250,-0.2250,0.7250,0.7250
-13.1750,-0.2250,0.7250,0.7250
-13.1250,-0.2250,0.7250,0.7250
-13.0750,-0.2250,0.7132,0.7132
-13.0250,-0.2250,0.6996,0.6996
-12.9750,-0.2250,0.6889,0.6889
-12.9250,-0.2250,0.6812,0.6812
-12.8750,-0.2250,0.6766,0.6766
-12.8250,-0.2250,0.6750,0.6750
-12.7750,-0.2250,0.6750,0.6750
-12.7250,-0.2250,0.6750,0.6750
-12.6750,-0.2250,0.6750,0.6750
-12.6250,-0.2250,0.6750,0.6750
-12.5750,-0.2250,0.6750,0.6750
-12.5250,-0.2250,0.6750,0.6750
-12.4750,-0.2250,0.6750,0.6750
-12.4250,-0.2250,0.6750,0.6750
-12.3750,-0.2250,0.6750,0.6750
-12.3250,-0.2250,0.6750,0.6750
-12.2750,-0.2250,0.6750,0.6750
-12.2250,-0.2250,0.6750,0.6750
-12.1750,-0.2250,0.6750,0.6750
-12.1250,-0.1750,0.7250,0.7250
-12.0750,-0.1750,0.7250,0.7250
-12.0250,-0.1750,0.7250,0.7250
-11.9750,-0.1750,0.7250,0.7250
-11.9250,-0.1750,0.7250,0.7250
-11.8750,-0.1750,0.7250,0.7250
-11.8250,-0.1750,0.7250,0.7250
-11.7750,-0.1750,0.7250,0.7250
-11.7250,-0.1750,0.7250,0.7250
-11.6750,-0.1750,0.7250,0.7250
-11.6250,-0.1750,0.7250,0.7250
-11.5750,-0.1750,0.7250,0.7250
-11.5250,-0.1750,0.7250,0.7250
-11.4750,-0.1750,0.7250,0.7250
-11.4250,-0.1750,0.7250,0.7250
-11.3750,-0.1750,0.7250,0.7250
-11.3250,-0.1750,0.7250,0.7250
-11.2750,-0.1750,0.7250,0.7250
-11.2250,-0.1750,0.7250,0.7250
-11.1750,-0.1750,0.7250,0.7250
-11.1250,-0.1750,0.7250,0.7250
-11.0750,-0.1750,0.7250,0.7250
-11.0250,-0.1750,0.7250,0.7250
-10.9750,-0.1750,0.7250,0.7250
-10.9250,-0.1750,0.7250,0.7250
-10.8750,-0.1750,0.7250,0.7250
-10.8250,-0.1750,0.7250,0.7250
-10.7750,-0.1750,0.7250,0.7250
-10.7250,-0.1750,0.7250,0.7250
-10.6750,-0.1750,0.7250,0.7250
-10.6250,-0.1750,0.7250,0.7250
-10.5750,-0.1750,0.7250,0.7250
-10.5250,-0.1750,0.7250,0.7250
-10.4750,-0.1750,0.7250,0.7250
-10.4250,-0.1750,0.7250,0.7250
-10.3750,-0.1750,0.7250,0.7250
-10.3250,-0.1750,0.7250,0.7250
-10.2750,-0.1750,0.7250,0.7250
-10.2250,-0.1750,0.7250,0.7250
-10.1750,-0.1750,0.7250,0.7250
-10.1250,-0.1750,0.7250,0.7250
-10.0750,-0.1750,0.7250,0.7250
-10.0250,-0.1750,0.7250,0.7250
-9.9750,-0.1750,0.7250,0.7250
-9.9250,-0.1750,0.7250,0.7250
-9.8750,-0.1750,0.7250,0.7250
-9.8250,-0.1750,0.7250,0.7250
-9.7750,-0.1750,0.7250,0.7250
