#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-13.5369769;0.0203717;-2.3812681;0.9090407;3.2344362;-0.0209791
0.1994927;-13.3875819;-0.1114664;-2.2094542;0.8183736;3.2331420;0.9344087
0.3989854;-13.2188578;-0.2175552;-2.0589245;0.6933554;3.2902922;1.9820088
0.5984781;-13.0370397;-0.2993230;-1.9315077;0.5856127;3.4083449;2.6837495
0.7979709;-12.8468891;-0.3593452;-1.8250227;0.4828703;3.5619646;3.3580950
0.9974636;-12.6518120;-0.4007888;-1.7384962;0.3850849;3.7453201;4.0801211
1.1969563;-12.4541018;-0.4271122;-1.6708859;0.2929943;3.9566819;4.8916831
1.3964490;-12.2551728;-0.4418256;-1.6213245;0.2040261;4.1960746;5.2646918
1.5959417;-12.0557970;-0.4483937;-1.5888824;0.1212464;4.4393217;5.2604795
1.7954344;-11.8563142;-0.4501769;-1.5735346;0.0328379;4.6697358;5.2562705
1.9949271;-11.6568216;-0.4502840;-1.5702067;0.0006463;4.8891316;5.2520650
2.1944199;-11.4573290;-0.4501590;-1.5701596;-0.0001721;5.0989317;5.2478628
2.3939126;-11.2578363;-0.4500374;-1.5702243;-0.0004775;5.3002760;5.2436639
2.5934053;-11.0583436;-0.4499364;-1.5703744;-0.0010253;5.4940942;5.2394684
2.7928980;-10.8588509;-0.4498716;-1.5705624;-0.0008572;5.6811568;5.2352763
2.9923907;-10.6593582;-0.4498377;-1.5706692;-0.0002112;5.8621107;4.0995441
3.1918834;-10.4598654;-0.4498082;-1.5705867;0.0010373;6.0000000;0.0000000
3.3913761;-10.2603727;-0.4497386;-1.5702725;0.0021127;6.0000000;0.0000000
3.5908689;-10.0608801;-0.4495865;-1.5697664;0.0029563;6.0000000;0.0000000
3.7903616;-9.8613876;-0.4493238;-1.5692014;0.0027014;6.0000000;0.0000000
3.9898543;-9.6618952;-0.4489640;-1.5688437;0.0008870;6.0000000;0.0000000
4.1893470;-9.4624029;-0.4485665;-1.5688138;-0.0005814;6.0000000;0.0000000
4.3888397;-9.2629105;-0.4481828;-1.5689324;-0.0006073;6.0000000;0.0000000
4.5883324;-9.0634181;-0.4478225;-1.5690452;-0.0005245;6.0000000;0.0000000
4.7878251;-8.8639257;-0.4474836;-1.5691504;-0.0005292;6.0000000;0.0000000
4.9873179;-8.6644332;-0.4471656;-1.5692530;-0.0004999;6.0000000;0.0000000
5.1868106;-8.4649407;-0.4468675;-1.5693511;-0.0004840;6.0000000;0.0000000
5.3863033;-8.2654482;-0.4465888;-1.5694458;-0.0004649;6.0000000;0.0000000
5.5857960;-8.0659557;-0.4463285;-1.5695368;-0.0004478;6.0000000;0.0000000
5.7852887;-7.8664631;-0.4460860;-1.5696244;-0.0004296;6.0000000;0.0000000
5.9847814;-7.6669705;-0.4458606;-1.5697084;-0.0004131;6.0000000;0.0000000
6.1842741;-7.4674779;-0.4456517;-1.5697887;-0.0003915;6.0000000;0.0000000
6.3837669;-7.2679853;-0.4454583;-1.5698652;-0.0003760;6.0000000;0.0000000
6.5832596;-7.0684927;-0.4452799;-1.5699377;-0.0003504;6.0000000;0.0000000
6.7827523;-6.8690000;-0.4451154;-1.5700046;-0.0003205;6.0000000;0.0000000
6.9822450;-6.6695074;-0.4449637;-1.5700664;-0.0002990;6.0000000;0.0000000
7.1817377;-6.4700147;-0.4448238;-1.5701224;-0.0002627;6.0000000;0.0000000
7.3812304;-6.2705220;-0.4446943;-1.5701715;-0.0002290;6.0000000;0.0000000
7.5807231;-6.0710293;-0.4445739;-1.5702123;-0.0001804;6.0000000;0.0000000
7.7802159;-5.8715367;-0.4444607;-1.5702445;-0.0001428;6.0000000;0.0000000
7.9797086;-5.6720440;-0.4443531;-1.5702667;-0.0000791;6.0000000;0.0000000
8.1792013;-5.4725513;-0.4442483;-1.5702720;0.0000258;6.0000000;0.0000000
8.3786940;-5.2730586;-0.4441431;-1.5702651;0.0000428;6.0000000;0.0000000
8.5781867;-5.0735659;-0.4440366;-1.5702612;-0.0000041;6.0000000;0.0000000
8.7776794;-4.8740732;-0.4439299;-1.5702628;-0.0000111;6.0000000;0.0000000
8.9771721;-4.6745805;-0.4438237;-1.5702647;-0.0000088;6.0000000;0.0000000
9.1766649;-4.4750879;-0.4437179;-1.5702672;-0.0000164;6.0000000;0.0000000
9.3761576;-4.2755952;-0.4436127;-1.5702714;-0.0000256;6.0000000;0.0000000
9.5756503;-4.0761025;-0.4435086;-1.5702778;-0.0000385;6.0000000;0.0000000
9.7751430;-3.8766098;-0.4434060;-1.5702871;-0.0000544;6.0000000;0.0000000
9.9746357;-3.6771171;-0.4433056;-1.5702998;-0.0000731;6.0000000;0.0000000
10.1741284;-3.4776244;-0.4432082;-1.5703165;-0.0000944;6.0000000;0.0000000
10.3736211;-3.2781317;-0.4431145;-1.5703377;-0.0001178;6.0000000;0.0000000
10.5731139;-3.0786390;-0.4430255;-1.5703637;-0.0001431;6.0000000;0.0000000
10.7726066;-2.8791463;-0.4429422;-1.5703949;-0.0001700;6.0000000;0.0000000
10.9720993;-2.6796536;-0.4428657;-1.5704317;-0.0001981;6.0000000;0.0000000
11.1715920;-2.4801609;-0.4427971;-1.5704741;-0.0002271;6.0000000;0.0000000
11.3710847;-2.2806682;-0.4427375;-1.5705223;-0.0002564;6.0000000;0.0000000
11.5705774;-2.0811755;-0.4426882;-1.5705764;-0.0002859;6.0000000;0.0000000
11.7700701;-1.8816828;-0.4426502;-1.5706363;-0.0003151;6.0000000;0.0000000
11.9695629;-1.6821901;-0.4426247;-1.5707021;-0.0003437;6.0000000;0.0000000
12.1690556;-1.4826974;-0.4426129;-1.5707734;-0.0003711;6.0000000;0.0000000
12.3685483;-1.2832047;-0.4426159;-1.5708500;-0.0003972;6.0000000;0.0000000
12.5680410;-1.0837120;-0.4426347;-1.5709317;-0.0004216;6.0000000;0.0000000
12.7675337;-0.8842192;-0.4426702;-1.5710180;-0.0004438;6.0000000;0.0000000
12.9670264;-0.6847265;-0.4427234;-1.5711085;-0.0004636;6.0000000;0.0000000
13.1665191;-0.4852338;-0.4427950;-1.5712027;-0.0004807;6.0000000;0.0000000
13.3660119;-0.2857411;-0.4428858;-1.5713000;-0.0004948;6.0000000;0.0000000
13.5655046;-0.0862485;-0.4429962;-1.5713998;-0.0005056;6.0000000;0.0000000
13.7649973;0.1132442;-0.4431266;-1.5715014;-0.0005127;6.0000000;0.0000000
13.9644900;0.3127369;-0.4432775;-1.5716041;-0.0005168;6.0000000;0.0000000
14.1639827;0.5122295;-0.4434490;-1.5717073;-0.0005180;6.0000000;0.0000000
14.3634754;0.7117221;-0.4436410;-1.5718103;-0.0005144;6.0000000;0.0000000
14.5629681;0.9112147;-0.4438534;-1.5719122;-0.0005067;6.0000000;0.0000000
14.7624609;1.1107073;-0.4440860;-1.5720119;-0.0004932;6.0000000;0.0000000
14.9619536;1.3101999;-0.4443382;-1.5721088;-0.0004782;6.0000000;0.0000000
15.1614463;1.5096924;-0.4446094;-1.5722018;-0.0004539;6.0000000;0.0000000
15.3609390;1.7091849;-0.4448987;-1.5722903;-0.0004333;6.0000000;0.0000000
15.5604317;1.9086774;-0.4452051;-1.5723731;-0.0003970;6.0000000;0.0000000
15.7599244;2.1081698;-0.4455273;-1.5724485;-0.0003592;6.0000000;0.0000000
15.9594171;2.3076623;-0.4458640;-1.5725196;-0.0003524;6.0000000;0.0000000
16.1589099;2.5071547;-0.4462138;-1.5725748;-0.0002001;6.0000000;0.0000000
16.3584026;2.7066471;-0.4465701;-1.5725771;0.0001785;6.0000000;0.0000000
16.5578953;2.9061395;-0.4469184;-1.5724908;0.0006843;6.0000000;0.0000000
16.7573880;3.1056319;-0.4472414;-1.5723329;0.0008956;6.0000000;0.0000000
16.9568807;3.3051244;-0.4475316;-1.5721765;0.0006720;6.0000000;0.0000000
17.1563734;3.5046170;-0.4477957;-1.5720748;0.0003473;6.0000000;0.0000000
17.3558661;3.7041095;-0.4480459;-1.5720372;0.0000313;6.0000000;0.0000000
17.5553589;3.9036021;-0.4482934;-1.5720385;-0.0000436;6.0000000;0.0000000
17.7548516;4.1030947;-0.4485417;-1.5720422;0.0000066;6.0000000;0.0000000
17.9543443;4.3025872;-0.4487898;-1.5720354;0.0000623;6.0000000;0.0000000
18.1538370;4.5020798;-0.4490348;-1.5720092;0.0002017;6.0000000;0.0000000
18.3533297;4.7015723;-0.4492712;-1.5719462;0.0004290;6.0000000;0.0000000
18.5528224;4.9010649;-0.4494908;-1.5718408;0.0006287;6.0000000;0.0000000
18.7523151;5.1005576;-0.4496846;-1.5716844;0.0009384;6.0000000;0.0000000
18.9518079;5.3000502;-0.4498421;-1.5714827;0.0010803;6.0000000;0.0000000
19.1513006;5.4995429;-0.4499595;-1.5712961;0.0007921;6.0000000;0.0000000
19.3507933;5.6990356;-0.4500441;-1.5711490;0.0006830;6.0000000;0.0000000
19.5502860;5.8985283;-0.4501005;-1.5710064;0.0007471;6.0000000;0.0000000
19.7497787;6.0980210;-0.4501268;-1.5708470;0.0008529;6.0000000;0.0000000
19.9492714;6.2975137;-0.4501179;-1.5706462;0.0011516;6.0000000;0.0000000
20.1487641;6.4970064;-0.4500710;-1.5705053;0.0002509;6.0000000;0.0000000
20.3482569;6.6964991;-0.4500222;-1.5706699;-0.0018925;6.0000000;0.0000000
20.5477496;6.8959919;-0.4500414;-1.5711494;-0.0028502;6.0000000;-9.1073376
20.7472423;7.0954846;-0.4501180;-1.5709584;0.0048402;5.6891392;-8.9078314
20.9467350;7.2949770;-0.4499362;-1.5682205;0.0229051;5.3677006;-7.4831500
21.1462277;7.4944639;-0.4485848;-1.5579112;0.0804847;5.0819821;-6.1118375
21.3457204;7.6938987;-0.4439691;-1.5351773;0.1473004;4.8361150;-5.2138239
21.5452131;7.8931096;-0.4335631;-1.5001656;0.2036302;4.6160338;-4.4307983
21.7447059;8.0917250;-0.4150620;-1.4537224;0.2619448;4.4204009;-3.7665775
21.9441986;8.2890925;-0.3862126;-1.3956381;0.3204275;4.2470148;-3.1845511
22.1436913;8.4842011;-0.3448174;-1.3258671;0.3792714;4.0946972;-2.6799164
22.3431840;8.6756126;-0.2888093;-1.2444830;0.4371174;3.9619816;-2.1758134
22.5426767;8.8614051;-0.2163516;-1.1514314;0.4965834;3.8508674;-1.6599555
22.7421694;9.0391143;-0.1258991;-1.0465532;0.5561177;3.7638919;-0.9854169
22.9416621;9.2056974;-0.0163353;-0.9293296;0.6209076;3.7112956;-0.0275990
23.1411549;9.3574597;0.1129475;-0.7987761;0.6909980;3.7098118;-0.0275990
23.3406476;9.4903613;0.2615235;-0.6609232;0.6898905;3.7083274;-0.0047382
23.5401403;9.6019057;0.4267277;-0.5289049;0.6305083;3.7080725;0.8130625
23.7396330;9.6919284;0.6046109;-0.4106107;0.5553756;3.7515599;1.6653087
23.9391257;9.7617699;0.7913817;-0.3076978;0.4768413;3.8390930;2.4524540
24.1386184;9.8135872;0.9839620;-0.2206936;0.3957755;3.9644834;3.2580280
24.3381111;9.8500592;1.1800504;-0.1497676;0.3155918;4.1251708;4.1054389
24.5376039;9.8741068;1.3780632;-0.0944911;0.2388287;4.3191486;5.0172309
24.7370966;9.8886077;1.5770145;-0.0530904;0.1765794;4.5449804;5.2585758
24.9365893;9.8960772;1.7763610;-0.0237805;0.1174347;4.7702140;5.2543684
25.1360820;9.8989086;1.9758317;-0.0067372;0.0534158;4.9851137;5.2501644
25.3355747;9.8993847;2.1753234;0.0010196;0.0246776;5.1909630;5.2459637
25.5350674;9.8987449;2.3748150;0.0051401;0.0168239;5.3887995;5.2417664
25.7345601;9.8974228;2.5743032;0.0079259;0.0111241;5.5794757;5.2375724
25.9340529;9.8956541;2.7737881;0.0096372;0.0060373;5.7637023;5.2333818
26.1335456;9.8936419;2.9732707;0.0103840;0.0014546;5.9420794;1.7336296
26.3330383;9.8915690;3.1727526;0.0102598;-0.0026960;6.0000000;0.0000000
26.5325310;9.8896026;3.3722356;0.0093210;-0.0067148;6.0000000;0.0000000
26.7320237;9.8879031;3.5717211;0.0075852;-0.0106865;6.0000000;0.0000000
26.9315164;9.8866285;3.7712097;0.0050640;-0.0145892;6.0000000;0.0000000
27.1310091;9.8859341;3.9707011;0.0017692;-0.0184422;6.0000000;0.0000000
