#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-13.5369769;0.0203717;-2.3828568;0.9037694;3.2438550;-0.0211015
0.1994866;-13.3878538;-0.1117682;-2.2118879;0.8147725;3.2425571;0.9222534
0.3989733;-13.2194076;-0.2182866;-2.0613742;0.6973207;3.2988075;1.8998418
0.5984599;-13.0377692;-0.3004354;-1.9333423;0.5878383;3.4117616;2.6441503
0.7979466;-12.8477140;-0.3607333;-1.8259632;0.4896015;3.5630131;3.2690197
0.9974332;-12.6526518;-0.4022065;-1.7377591;0.3953111;3.7415657;3.9478420
1.1969198;-12.4549061;-0.4282010;-1.6684115;0.3001275;3.9464411;1.0667445
1.3964065;-12.2559414;-0.4423264;-1.6181311;0.2040021;4.0000000;0.0000000
1.5958931;-12.0565544;-0.4483802;-1.5875388;0.1026580;4.0000000;0.0000000
1.7953797;-11.8570772;-0.4501461;-1.5740632;0.0328920;4.0000000;0.0000000
1.9948664;-11.6575910;-0.4502845;-1.5695466;0.0131873;4.0000000;0.0000000
2.1943530;-11.4581048;-0.4498136;-1.5675065;0.0075001;4.0000000;0.0000000
2.3938397;-11.2586196;-0.4490164;-1.5661282;0.0064023;4.0000000;0.0000000
2.5933263;-11.0591358;-0.4479635;-1.5649351;0.0055629;4.0000000;0.0000000
2.7928129;-10.8596533;-0.4466935;-1.5639765;0.0040326;4.0000000;0.0000000
2.9922996;-10.6601717;-0.4452660;-1.5633719;0.0020167;4.0000000;0.0000000
3.1917862;-10.4606907;-0.4437619;-1.5632282;-0.0005910;4.0000000;0.0000000
3.3912729;-10.2612095;-0.4422787;-1.5635669;-0.0027930;4.0000000;0.0000000
3.5907595;-10.0617276;-0.4408997;-1.5642345;-0.0038665;4.0000000;0.0000000
3.7902461;-9.8622449;-0.4396665;-1.5649840;-0.0036071;4.0000000;0.0000000
3.9897328;-9.6627613;-0.4385675;-1.5655299;-0.0018160;4.0000000;0.0000000
4.1892194;-9.4632773;-0.4375434;-1.5657472;-0.0003767;4.0000000;0.0000000
4.3887061;-9.2637932;-0.4365427;-1.5658128;-0.0003318;4.0000000;0.0000000
4.5881927;-9.0643089;-0.4355556;-1.5658860;-0.0004048;4.0000000;0.0000000
4.7876793;-8.8648247;-0.4345841;-1.5659671;-0.0004049;4.0000000;0.0000000
4.9871660;-8.6653403;-0.4336290;-1.5660507;-0.0004347;4.0000000;0.0000000
5.1866526;-8.4658559;-0.4326911;-1.5661392;-0.0004517;4.0000000;0.0000000
5.3861392;-8.2663714;-0.4317712;-1.5662313;-0.0004721;4.0000000;0.0000000
5.5856259;-8.0668868;-0.4308700;-1.5663273;-0.0004903;4.0000000;0.0000000
5.7851125;-7.8674021;-0.4299884;-1.5664270;-0.0005096;4.0000000;0.0000000
5.9845992;-7.6679173;-0.4291270;-1.5665305;-0.0005274;4.0000000;0.0000000
6.1840858;-7.4684324;-0.4282867;-1.5666379;-0.0005499;4.0000000;0.0000000
6.3835724;-7.2689475;-0.4274682;-1.5667493;-0.0005668;4.0000000;0.0000000
6.5830591;-7.0694624;-0.4266723;-1.5668650;-0.0005937;4.0000000;0.0000000
6.7825457;-6.8699773;-0.4259001;-1.5669865;-0.0006241;4.0000000;0.0000000
6.9820324;-6.6704920;-0.4251527;-1.5671133;-0.0006475;4.0000000;0.0000000
7.1815190;-6.4710067;-0.4244311;-1.5672461;-0.0006845;4.0000000;0.0000000
7.3810056;-6.2715213;-0.4237367;-1.5673862;-0.0007198;4.0000000;0.0000000
7.5804923;-6.0720357;-0.4230711;-1.5675346;-0.0007687;4.0000000;0.0000000
7.7799789;-5.8725501;-0.4224360;-1.5676919;-0.0008080;4.0000000;0.0000000
