#x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8400,1.4200,0.9500,0.9500
-1.8400,1.3700,0.9500,0.9500
-1.8400,1.3200,0.9500,0.9500
-1.8400,1.2700,0.9500,0.9500
-1.8400,1.2200,0.9500,0.9500
-1.8400,1.1700,0.9500,0.9500
-1.8400,1.1200,0.9500,0.9500
-1.8400,1.0700,0.9500,0.9500
-1.8400,1.0200,0.9500,0.9500
-1.8400,0.9700,0.9500,0.9500
-1.8400,0.9200,0.9500,0.9500
-1.8400,0.8700,0.9513,0.9513
-1.8400,0.8200,0.9552,0.9552
-1.8400,0.7700,0.9618,0.9618
-1.8400,0.7200,0.9708,0.9708
-1.8400,0.6700,0.9823,0.9823
-1.8400,0.6200,0.9962,0.9962
-1.8400,0.5700,1.0012,1.0012
-1.8400,0.5200,1.0050,1.0050
-1.7900,0.4700,1.0062,1.0062
-1.7900,0.4200,1.0296,1.0296
-1.7400,0.3700,1.0000,1.0000
-1.7400,0.3200,0.9500,0.9500
-1.6900,0.2700,0.9000,0.9000
-1.6400,0.2200,0.8500,0.8500
-1.5900,0.1700,0.8000,0.8000
-1.5400,0.1700,0.8000,0.8000
-1.4900,0.1200,0.7500,0.7500
-1.4400,0.1200,0.7500,0.7500
-1.3900,0.1200,0.7500,0.7500
-1.3400,0.1200,0.7500,0.7500
-1.2900,0.1200,0.7500,0.7500
-1.2400,0.1200,0.7500,0.7500
-1.1900,0.1200,0.7500,0.7500
-1.1400,0.1200,0.7500,0.7500
-1.0900,0.1200,0.7500,0.7500
-1.0400,0.1200,0.7500,0.7500
-0.9900,0.1200,0.7500,0.7500
-0.9400,0.1200,0.7500,0.7500
-0.8900,0.1200,0.7500,0.7500
-0.8400,0.1200,0.7500,0.7500
-0.7900,0.1200,0.7500,0.7500
-0.7400,0.1200,0.7500,0.7500
-0.6900,0.1200,0.7500,0.7500
-0.6400,0.1200,0.7500,0.7500
-0.5900,0.1200,0.7500,0.7500
-0.5400,0.1200,0.7500,0.7500
-0.4900,0.1200,0.7500,0.7500
-0.4400,0.1200,0.7500,0.7500
-0.3900,0.1200,0.7500,0.7500
-0.3400,0.1200,0.7500,0.7500
-0.2900,0.1200,0.7500,0.7500
-0.2400,0.1200,0.7500,0.7500
-0.1900,0.1200,0.7500,0.7500
-0.1400,0.1200,0.7500,0.7500
-0.0900,0.1200,0.7500,0.7500
-0.0400,0.1200,0.7500,0.7500
0.0100,0.1200,0.7500,0.7500
0.0600,0.1200,0.7500,0.7500
0.1100,0.1200,0.7500,0.7500
0.1600,0.1200,0.7500,0.7500
0.2100,0.1200,0.7500,0.7500
0.2600,0.1200,0.7500,0.7500
0.3100,0.0700,0.7500,0.7500
0.3600,0.0700,0.7517,0.7517
0.4100,0.0700,0.7566,0.7566
0.4600,0.0700,0.7649,0.7649
0.5100,0.0700,0.7762,0.7762
0.5600,0.0700,0.7906,0.7906
