#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-1.2165997;1.2569481;2.9191430;0.5015222;2.6049379;0.1750438
0.1987726;-1.2450740;1.0605176;3.1056207;1.3872500;2.6182607;-0.0137472
0.3975452;-1.2305630;0.8625784;-2.9876591;0.5361674;2.6172168;5.2862637
0.5963179;-1.1867565;0.6688912;-2.8352154;0.9960843;2.9918812;0.5757470
0.7950905;-1.1100286;0.4858012;-2.6627024;0.7474215;3.0298908;2.6300826
0.9938631;-1.0060353;0.3165951;-2.5200557;0.6925697;3.1977829;2.4074043
1.1926357;-0.8798920;0.1631611;-2.3891836;0.6260281;3.3440795;2.4867854
1.3914084;-0.7356150;0.0265915;-2.2700296;0.5748317;3.4887644;2.4890408
1.5901810;-0.5766961;-0.0926552;-2.1606475;0.5265047;3.6278070;2.5542877
1.7889536;-0.4061757;-0.1946574;-2.0606680;0.4798779;3.7651598;2.6786164
1.9877262;-0.2267104;-0.2799734;-1.9700833;0.4313776;3.9040107;1.9084627
2.1864989;-0.0405885;-0.3496173;-1.8892894;0.3813829;4.0000000;0.0000000
2.3852715;0.1502883;-0.4049544;-1.8182145;0.3341019;4.0000000;0.0000000
2.5840441;0.3444258;-0.4474903;-1.7562172;0.2900450;4.0000000;0.0000000
2.7828167;0.5406957;-0.4787706;-1.7029251;0.2460431;4.0000000;0.0000000
2.9815894;0.7382645;-0.5004248;-1.6585141;0.2005370;4.0000000;0.0000000
3.1803620;0.9365438;-0.5141953;-1.6233271;0.1532221;4.0000000;0.0000000
3.3791346;1.1351545;-0.5219268;-1.5977031;0.1043786;4.0000000;0.0000000
3.5779072;1.3338859;-0.5255376;-1.5818601;0.0549805;4.0000000;0.0000000
3.7766799;1.5326466;-0.5269427;-1.5752277;0.0131267;4.0000000;0.0000000
3.9754525;1.7314133;-0.5277125;-1.5744746;-0.0008586;4.0000000;0.0000000
4.1742251;1.9301835;-0.5284689;-1.5746207;0.0012318;4.0000000;0.0000000
4.3729977;2.1289549;-0.5291827;-1.5740635;0.0041192;4.0000000;0.0000000
4.5717704;2.3277267;-0.5297444;-1.5731828;0.0043250;4.0000000;0.0000000
4.7705430;2.5264989;-0.5301325;-1.5723029;0.0046347;4.0000000;0.0000000
4.9693156;2.7252714;-0.5303454;-1.5714821;0.0033191;4.0000000;0.0000000
5.1680882;2.9240435;-0.5304275;-1.5709945;0.0015764;4.0000000;0.0000000
5.3668608;3.1228150;-0.5304095;-1.5701658;0.0082033;4.0000000;0.0000000
5.5656335;3.3215869;-0.5300344;-1.5671094;0.0237845;4.0000000;0.0000000
5.7644061;3.5203556;-0.5287090;-1.5604986;0.0431178;4.0000000;0.0000000
5.9631787;3.7191048;-0.5256951;-1.5502350;0.0595855;4.0000000;0.0000000
6.1619513;3.9178034;-0.5203572;-1.5373570;0.0688928;4.0000000;0.0000000
6.3607240;4.1164109;-0.5123166;-1.5231880;0.0730241;4.0000000;0.0000000
6.5594966;4.3148816;-0.5013962;-1.5083732;0.0759725;4.0000000;0.0000000
6.7582692;4.5131647;-0.4874762;-1.4929203;0.0796465;4.0000000;0.0000000
6.9570418;4.7112013;-0.4704105;-1.4765514;0.0853705;4.0000000;0.0000000
7.1558145;4.9089180;-0.4499773;-1.4588010;0.0935854;4.0000000;0.0000000
7.3545871;5.1062192;-0.4258661;-1.4392692;0.1030845;4.0000000;0.0000000
7.5533597;5.3029841;-0.3977171;-1.4178103;0.1128476;4.0000000;0.0000000
7.7521323;5.4990674;-0.3651619;-1.3944034;0.1226781;4.0000000;0.0000000
7.9509050;5.6942980;-0.3278351;-1.3690320;0.1326249;4.0000000;0.0000000
8.1496776;5.8884760;-0.2853749;-1.3416709;0.1426982;4.0000000;0.0000000
