#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-1.3975820;1.2975280;2.9528864;1.3527478;2.6514402;-0.0140979
0.1997470;-1.4110871;1.0986669;-3.1019141;0.9526107;2.6503779;2.8042968
0.3994940;-1.3861196;0.9007059;-2.9399521;0.6655184;2.8539101;4.0731504
0.5992411;-1.3314983;0.7087988;-2.7790191;0.9492456;3.1260202;0.2143731
0.7989881;-1.2444652;0.5292818;-2.6069947;0.7807302;3.1396884;1.7940720
0.9987351;-1.1301476;0.3657033;-2.4588150;0.7046859;3.2518247;2.0371894
1.1984821;-0.9940553;0.2196892;-2.3267028;0.6203183;3.3746421;2.4228481
1.3982291;-0.8409081;0.0916270;-2.2101829;0.5474135;3.5151277;2.7213140
1.5979761;-0.6746436;-0.0189155;-2.1069170;0.4873027;3.6665067;2.9320996
1.7977232;-0.4983878;-0.1127478;-2.0148093;0.4355155;3.8229083;3.1157957
1.9974702;-0.3146178;-0.1908812;-1.9322917;0.3911992;3.9823824;0.3520220
2.1972172;-0.1252878;-0.2544013;-1.8579550;0.3533684;4.0000000;0.0000000
2.3969642;0.0680512;-0.3044462;-1.7916144;0.3108944;4.0000000;0.0000000
2.5967112;0.2641170;-0.3424780;-1.7349893;0.2563816;4.0000000;0.0000000
2.7964583;0.4618858;-0.3703906;-1.6886470;0.2079289;4.0000000;0.0000000
2.9962053;0.6606547;-0.3900137;-1.6510728;0.1683543;4.0000000;0.0000000
3.1959523;0.8599760;-0.4029382;-1.6213117;0.1297310;4.0000000;0.0000000
3.3956993;1.0595691;-0.4106822;-1.5990588;0.0930798;4.0000000;0.0000000
3.5954463;1.2592738;-0.4147186;-1.5841955;0.0556074;4.0000000;0.0000000
3.7951933;1.4590119;-0.4165619;-1.5772325;0.0152252;4.0000000;0.0000000
3.9949404;1.6587561;-0.4176110;-1.5751993;0.0054806;4.0000000;0.0000000
4.1946874;1.8585017;-0.4183854;-1.5741690;0.0048200;4.0000000;0.0000000
4.3944344;2.0582478;-0.4189700;-1.5733125;0.0037713;4.0000000;0.0000000
4.5941814;2.2579944;-0.4194019;-1.5726270;0.0030900;4.0000000;0.0000000
4.7939284;2.4577411;-0.4197108;-1.5720832;0.0023577;4.0000000;0.0000000
