#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-5.4565084;7.3606146;3.0193776;0.0894705;3.2509151;-0.4207241
0.1997353;-5.4739169;7.1617191;3.1154202;0.8759421;3.2249623;-0.0268224
0.3994706;-5.4662133;6.9622297;-3.0608450;0.1979417;3.2233007;-0.0208182
0.5992059;-5.4414778;6.7641372;-2.9499122;0.9160657;3.2220104;-0.0208182
0.7989412;-5.3889622;6.5715811;-2.8174844;0.4151309;3.2207196;0.2642143
0.9986765;-5.3145928;6.3863640;-2.6855844;0.9075657;3.2370636;-0.0210132
1.1984118;-5.2132116;6.2144596;-2.5454557;0.5021239;3.2357667;4.2316728
1.3981471;-5.0919906;6.0558658;-2.4261605;0.6900835;3.4872074;1.0937743
1.5978824;-4.9518506;5.9137105;-2.3064371;0.5132776;3.5493022;3.0186996
1.7976177;-4.7970412;5.7876513;-2.2009493;0.5422363;3.7152964;1.9975997
1.9973530;-4.6298392;5.6785474;-2.0990256;0.4801455;3.8211791;2.4699179
2.1970883;-4.4528146;5.5862066;-2.0046645;0.4649900;3.9481729;1.0311908
2.3968236;-4.2680213;5.5105827;-1.9147912;0.4357311;4.0000000;0.0000000
2.5965589;-4.0773272;5.4513728;-1.8294759;0.4190401;4.0000000;0.0000000
2.7962942;-3.8823426;5.4083274;-1.7470958;0.4064418;4.0000000;0.0000000
2.9960295;-3.6844991;5.3812999;-1.6660708;0.4046576;4.0000000;0.0000000
3.1957648;-3.4851337;5.3699382;-1.5914275;0.3434114;4.0000000;0.0000000
3.3955001;-3.2854491;5.3724185;-1.5265664;0.3062672;4.0000000;0.0000000
3.5952354;-3.0862882;5.3871777;-1.4679149;0.2807122;4.0000000;0.0000000
3.7949707;-2.8882200;5.4127765;-1.4189996;0.2094741;4.0000000;0.0000000
3.9947060;-2.6914136;5.4467925;-1.3818583;0.1627657;4.0000000;0.0000000
4.1944413;-2.4958487;5.4873593;-1.3513219;0.1429979;4.0000000;0.0000000
4.3941766;-2.3014981;5.5334018;-1.3261781;0.1086732;4.0000000;0.0000000
4.5939119;-2.1081639;5.5835524;-1.3094745;0.0584874;4.0000000;0.0000000
4.7936472;-1.9154133;5.6359089;-1.3035964;0.0003161;4.0000000;0.0000000
4.9933825;-1.7226605;5.6882574;-1.3096662;-0.0610820;4.0000000;0.0000000
5.1931178;-1.5292901;5.7382666;-1.3277363;-0.1198119;4.0000000;0.0000000
5.3928531;-1.3347900;5.7836647;-1.3570383;-0.1735749;4.0000000;0.0000000
5.5925884;-1.1388397;5.8222963;-1.3970198;-0.2265778;4.0000000;0.0000000
5.7923237;-0.9413730;5.8521891;-1.4450069;-0.2535007;4.0000000;0.0000000
5.9920590;-0.7426882;5.8724663;-1.4919495;-0.2167874;4.0000000;0.0000000
6.1917943;-0.5433040;5.8840505;-1.5327299;-0.1920472;4.0000000;0.0000000
6.3915296;-0.3436143;5.8875236;-1.5755702;-0.2367497;4.0000000;0.0000000
6.5912649;-0.1439887;5.8815786;-1.6269263;-0.2774786;4.0000000;0.0000000
6.7910002;0.0550069;5.8647168;-1.6844294;-0.2984232;4.0000000;0.0000000
6.9907355;0.2526442;5.8360667;-1.7456171;-0.3144230;4.0000000;0.0000000
7.1904708;0.4480970;5.7951012;-1.8095654;-0.3260403;4.0000000;0.0000000
7.3902060;0.6404697;5.7415152;-1.8757034;-0.3363635;4.0000000;0.0000000
7.5899413;0.8288051;5.6751295;-1.9440656;-0.3483671;4.0000000;0.0000000
7.7896766;1.0120549;5.5957886;-2.0152878;-0.3651539;4.0000000;0.0000000
7.9894119;1.1890120;5.5032711;-2.0906154;-0.3897525;4.0000000;0.0000000
8.1891472;1.3582150;5.3972486;-2.1715318;-0.4212205;4.0000000;-0.9270964
8.3888825;1.5178933;5.2773730;-2.2592159;-0.4575479;3.9534355;-2.2103325
8.5886178;1.6659548;5.1434255;-2.3544723;-0.4970092;3.8401418;-2.0417063
8.7883531;1.8000061;4.9954718;-2.4577900;-0.5380937;3.7324372;-1.9295187
8.9880884;1.9174183;4.8340067;-2.5692398;-0.5780166;3.6277130;-1.7952719
9.1878237;2.0154363;4.6600864;-2.6889733;-0.6220037;3.5274840;-1.5826165
9.3875590;2.0911233;4.4753540;-2.8181903;-0.6731955;3.4367040;-1.2121142
9.5872943;2.1413231;4.2821392;-2.9586182;-0.7345985;3.3655209;-0.4459657
9.7870296;2.1626604;4.0836652;-3.1130237;-0.8150267;3.3389490;-0.0223389
9.9867649;2.1516568;3.8843297;3.0017717;-0.8537067;3.3376124;-0.0223389
10.1865002;2.1072794;3.6898141;2.8365662;-0.7552636;3.3362753;1.0810414
10.3862355;2.0341356;3.5043555;2.6989152;-0.6382884;3.4003790;2.1065543
10.5859708;1.9380103;3.3296833;2.5808679;-0.5515844;3.5219432;2.6432266
10.7857061;1.8231693;3.1665511;2.4775616;-0.4883872;3.6687839;2.9093289
10.9854414;1.6929327;3.0153380;2.3852128;-0.4393035;3.8238942;3.0571081
11.1851767;1.5498882;2.8761009;2.3013853;-0.4029670;3.9803758;0.3920406
11.3849120;1.3960640;2.7487919;2.2239105;-0.3736744;4.0000000;0.0000000
11.5846473;1.2331123;2.6332888;2.1517233;-0.3497777;4.0000000;0.0000000
11.7843826;1.0624277;2.5294305;2.0837892;-0.3303008;4.0000000;0.0000000
11.9841179;0.8852251;2.4370614;2.0193433;-0.3147892;4.0000000;0.0000000
12.1838532;0.7025606;2.3560313;1.9577332;-0.3010794;4.0000000;0.0000000
12.3835885;0.5153781;2.2861509;1.8988844;-0.2882976;4.0000000;0.0000000
12.5833238;0.3245364;2.2271874;1.8423884;-0.2769761;4.0000000;0.0000000
12.7830591;0.1307624;2.1788650;1.7884297;-0.2633653;4.0000000;0.0000000
12.9827944;-0.0652417;2.1408005;1.7372395;-0.2499727;4.0000000;0.0000000
13.1825297;-0.2629536;2.1125644;1.6884489;-0.2383939;4.0000000;0.0000000
13.3822650;-0.4618745;2.0936986;1.6429846;-0.2170469;4.0000000;0.0000000
13.5820003;-0.6613559;2.0835913;1.5998424;-0.2158075;4.0000000;0.0000000
13.7817356;-0.8609860;2.0819159;1.5598596;-0.1792205;4.0000000;0.0000000
13.9814709;-1.0608848;2.0874620;1.5270489;-0.1539636;4.0000000;0.0000000
14.1812062;-1.2600414;2.0991929;1.4971126;-0.1449135;4.0000000;0.0000000
14.3809415;-1.4586784;2.1163658;1.4749218;-0.0648542;4.0000000;0.0000000
14.5806768;-1.6576397;2.1363318;1.4682110;-0.0125988;4.0000000;0.0000000
14.7804121;-1.8569272;2.1568824;1.4687720;0.0159105;4.0000000;0.0000000
14.9801474;-2.0562278;2.1770287;1.4694867;-0.0316876;4.0000000;0.0000000
15.1798827;-2.2539981;2.1982048;1.4575070;-0.0745205;4.0000000;0.0000000
15.3796180;-2.4518057;2.2217275;1.4515628;0.0364686;4.0000000;0.0000000
15.5793533;-2.6504693;2.2443311;1.4649853;0.0900199;4.0000000;0.0000000
15.7790886;-2.8493027;2.2634227;1.4861817;0.1216098;4.0000000;0.0000000
15.9788239;-3.0486389;2.2778340;1.5113995;0.1317540;4.0000000;0.0000000
16.1785592;-3.2481500;2.2869710;1.5391724;0.1497529;4.0000000;0.0000000
16.3782945;-3.4477864;2.2900469;1.5727993;0.1850427;4.0000000;0.0000000
16.5780298;-3.6473344;2.2857600;1.6129920;0.2233503;4.0000000;0.0000000
16.7777651;-3.8464345;2.2725705;1.6627155;0.2780327;4.0000000;0.0000000
16.9775004;-4.0446174;2.2483539;1.7239640;0.3351750;4.0000000;0.0000000
17.1772357;-4.2407733;2.2109148;1.7969374;0.3972836;4.0000000;-2.6231019
17.3769710;-4.4333952;2.1580535;1.8823388;0.4577198;3.8668007;-2.3377205
17.5767063;-4.6203944;2.0878468;1.9793998;0.5136423;3.7441017;-1.9729765
17.7764416;-4.7991726;1.9988699;2.0877215;0.5716907;3.6373275;-1.6804059
17.9761769;-4.9666377;1.8901623;2.2071711;0.6254363;3.5438508;-1.3271214
18.1759122;-5.1192149;1.7614632;2.3377324;0.6822831;3.4682463;-1.0325071
18.3756475;-5.2529371;1.6133030;2.4786443;0.7317997;3.4082659;-0.3460172
18.5753828;-5.3635867;1.4472419;2.6313092;0.8003971;3.3879275;-0.0229991
18.7751181;-5.4466840;1.2658505;2.7936629;0.8292015;3.3865713;-0.0229991
18.9748534;-5.4991960;1.0733664;2.9557815;0.7974684;3.3852146;0.3482889
19.1745887;-5.5209711;0.8750093;3.1056129;0.7047800;3.4057024;1.3121315
19.3743240;-5.5146578;0.6755220;-3.0450576;0.6233641;3.4818051;1.9286670
19.5740593;-5.4835456;0.4783487;-2.9273704;0.5560082;3.5907398;2.3153015
19.7737946;-5.4305293;0.2858880;-2.8190222;0.5312065;3.7172984;2.1419150
19.9735299;-5.3573827;0.1001293;-2.7143154;0.5190001;3.8306578;1.8647969
20.1732652;-5.2655199;-0.0771299;-2.6136666;0.4884538;3.9266870;1.4547479
20.3730005;-5.1568173;-0.2446157;-2.5191261;0.4591611;4.0000000;0.0000000
20.5727358;-5.0331849;-0.4014249;-2.4293638;0.4410171;4.0000000;0.0000000
20.7724711;-4.8962682;-0.5467697;-2.3435635;0.4169792;4.0000000;0.0000000
20.9722064;-4.7477419;-0.6802416;-2.2631645;0.3874721;4.0000000;0.0000000
21.1719417;-4.5893084;-0.8018215;-2.1882893;0.3634237;4.0000000;0.0000000
21.3716770;-4.4224622;-0.9115773;-2.1176328;0.3447289;4.0000000;0.0000000
21.5714123;-4.2484608;-1.0095888;-2.0505045;0.3274015;4.0000000;0.0000000
21.7711476;-4.0684259;-1.0960191;-1.9868331;0.3100021;4.0000000;0.0000000
21.9708829;-3.8833884;-1.1711461;-1.9267464;0.2911707;4.0000000;0.0000000
22.1706181;-3.6942948;-1.2353954;-1.8706218;0.2703048;4.0000000;0.0000000
22.3703534;-3.5020056;-1.2893503;-1.8188391;0.2478428;4.0000000;0.0000000
22.5700887;-3.3072791;-1.3337273;-1.7716883;0.2238928;4.0000000;0.0000000
22.7698240;-3.1107609;-1.3693574;-1.7294682;0.1985432;4.0000000;0.0000000
22.9695593;-2.9129832;-1.3971690;-1.6923912;0.1727318;4.0000000;0.0000000
23.1692946;-2.7143660;-1.4181390;-1.6603964;0.1481373;4.0000000;0.0000000
23.3690299;-2.5152191;-1.4332184;-1.6330622;0.1264725;4.0000000;0.0000000
23.5687652;-2.3157573;-1.4432554;-1.6096567;0.1090876;4.0000000;0.0000000
23.7685005;-2.1161222;-1.4489354;-1.5892211;0.0969000;4.0000000;0.0000000
23.9682358;-1.9164083;-1.4507421;-1.5706887;0.0898837;4.0000000;0.0000000
24.1679711;-1.7166863;-1.4489573;-1.5531400;0.0865014;4.0000000;0.0000000
24.3677064;-1.5170200;-1.4437214;-1.5361012;0.0840282;4.0000000;0.0000000
24.5674417;-1.3174701;-1.4351446;-1.5198084;0.0775649;4.0000000;0.0000000
24.7671770;-1.1180773;-1.4235027;-1.5057814;0.0591437;4.0000000;0.0000000
24.9669123;-0.9188319;-1.4095238;-1.4967128;0.0297888;4.0000000;0.0000000
25.1666476;-0.7196751;-1.3943278;-1.4931211;0.0120727;4.0000000;0.0000000
25.3663829;-0.5205597;-1.3786172;-1.4908944;0.0142483;4.0000000;0.0000000
25.5661182;-0.3214884;-1.3623489;-1.4875644;0.0164134;4.0000000;0.0000000
25.7658535;-0.1224712;-1.3454284;-1.4844090;0.0158952;4.0000000;0.0000000
25.9655888;0.0764913;-1.3278769;-1.4812136;0.0157946;4.0000000;0.0000000
26.1653241;0.2753975;-1.3096968;-1.4780841;0.0157800;4.0000000;0.0000000
26.3650594;0.4742453;-1.2908903;-1.4749131;0.0158455;4.0000000;0.0000000
26.5647947;0.6730327;-1.2714545;-1.4717564;0.0158057;4.0000000;0.0000000
26.7645300;0.8717577;-1.2513907;-1.4685860;0.0160098;4.0000000;0.0000000
26.9642653;1.0704173;-1.2306908;-1.4653392;0.0166145;4.0000000;0.0000000
27.1640006;1.2690072;-1.2093308;-1.4619253;0.0176780;4.0000000;0.0000000
27.3637359;1.4675208;-1.1872733;-1.4583613;0.0174036;4.0000000;0.0000000
27.5634712;1.6659556;-1.1645190;-1.4548163;0.0194022;4.0000000;0.0000000
27.7632065;1.8642999;-1.1409896;-1.4504207;0.0252972;4.0000000;0.0000000
27.9629418;2.0625233;-1.1164621;-1.4447918;0.0302257;4.0000000;0.0000000
28.1626771;2.2605956;-1.0907432;-1.4384870;0.0323418;4.0000000;0.0000000
28.3624124;2.4584975;-1.0637446;-1.4318656;0.0342515;4.0000000;0.0000000
28.5621477;2.6562096;-1.0353905;-1.4247416;0.0373723;4.0000000;0.0000000
28.7618830;2.8537043;-1.0055608;-1.4169152;0.0410086;4.0000000;0.0000000
28.9616183;3.0509480;-0.9741146;-1.4083617;0.0446215;4.0000000;0.0000000
29.1613536;3.2479036;-0.9409117;-1.3990906;0.0482174;4.0000000;0.0000000
29.3610889;3.4445302;-0.9058135;-1.3890995;0.0518278;4.0000000;0.0000000
29.5608242;3.6407829;-0.8686819;-1.3783868;0.0554395;4.0000000;0.0000000
29.7605595;3.8366124;-0.8293794;-1.3669535;0.0590418;4.0000000;0.0000000
29.9602948;4.0319646;-0.7877703;-1.3548025;0.0626200;4.0000000;0.0000000
30.1600301;4.2267812;-0.7437213;-1.3419404;0.0661611;4.0000000;0.0000000
30.3597654;4.4209986;-0.6971019;-1.3283753;0.0696556;4.0000000;0.0000000
30.5595007;4.6145485;-0.6477850;-1.3141177;0.0730928;4.0000000;0.0000000
30.7592360;4.8073578;-0.5956480;-1.2991800;0.0764629;4.0000000;0.0000000
